rna_condition,atac_stage,module,rna_mean,atac_mean
Normal,Normal,Angio_bulk,-0.8162470073972896,0.009249772255178895
Normal,Normal,CSC_bulk,-0.9067698603579026,0.2144819811979157
Normal,Normal,TGFb_bulk,-0.19273846988250076,0.26926996481591464
Normal,Normal,mTOR_bulk,-0.7049225126877289,0.1738928645905076
Papilloma,Papilloma,Angio_bulk,-0.3957107436700137,-0.18362678736233531
Papilloma,Papilloma,CSC_bulk,-0.31935898909572813,-0.32101499578725784
Papilloma,Papilloma,TGFb_bulk,-0.3494865554457809,-0.38613471148444384
Papilloma,Papilloma,mTOR_bulk,-0.3600867112621042,-0.30777008608903683
SCC,SCC,Angio_bulk,0.40191712368432897,0.1743770151071569
SCC,SCC,CSC_bulk,0.38637195963733967,0.10653301458934271
SCC,SCC,TGFb_bulk,0.2229278951935152,0.11686474666852853
SCC,SCC,mTOR_bulk,0.3562739838029843,0.1338772214985295
