dataset,condition,module,data_zscore,model_zscore,model_raw,residual
Bl6,Normal,C,-0.9067698603579026,-1.3585641030947373,0.05254984732637365,-0.45179424273683466
Bl6,Normal,A,-0.8162470073972896,-1.751612474686173,0.13849942276855398,-0.9353654672888834
Bl6,Normal,T,-0.1927384698825007,-1.681247367270096,0.09142934156619847,-1.4885088973875953
Bl6,Normal,M,-0.7049225126877289,-1.0125082541488613,5.274486373870649e-06,-0.3075857414611324
Bl6,SCC,C,0.4533849301789512,0.9760736400184465,0.5961682542802353,0.5226887098394953
Bl6,SCC,A,0.4081235036986447,0.8732461922024537,0.49156555710211935,0.465122688503809
Bl6,SCC,T,0.09636923494125,0.9009446060486741,0.36344502607603896,0.804575371107424
Bl6,SCC,M,0.3524612563438645,0.999934681947321,0.4519271335058381,0.6474734256034566
PAP_SCC,Papilloma,C,-0.3193589890957281,-0.9640392675965505,0.14441461872823866,-0.6446802785008223
PAP_SCC,Papilloma,A,-0.3957107436700137,-0.7996827560621443,0.2665421818517366,-0.40397201239213065
PAP_SCC,Papilloma,T,-0.3494865554457809,-0.8397949748528661,0.18007040732384483,-0.49030841940708525
PAP_SCC,Papilloma,M,-0.3600867112621042,-0.9771153679606224,0.007953235959150139,-0.6170286566985181
PAP_SCC,SCC,C,0.3193589890957281,0.9760736400184465,0.5961682542802353,0.6567146509227184
PAP_SCC,SCC,A,0.3957107436700131,0.8732461922024537,0.49156555710211935,0.4775354485324406
PAP_SCC,SCC,T,0.3494865554457803,0.9009446060486741,0.36344502607603896,0.5514580506028939
PAP_SCC,SCC,M,0.3600867112621041,0.999934681947321,0.4519271335058381,0.6398479706852169
PDV,PDV_LeprKO,C,-0.2329496515330303,-0.6056175493640509,0.22787281007204713,-0.3726678978310206
PDV,PDV_LeprKO,A,-0.355083100035454,-0.0684433458590422,0.364900190642661,0.2866397541764118
PDV,PDV_LeprKO,T,-0.2074806983284766,-0.1817914760230618,0.24938642797354707,0.02568922230541479
PDV,PDV_LeprKO,M,-0.2346849267600328,-1.0101804237324796,0.0005280209605143662,-0.7754954969724468
PDV,PDV_WT,C,0.2329496515330304,0.9760736400184465,0.5961682542802353,0.7431239884854162
PDV,PDV_WT,A,0.3550831000354537,0.8732461922024537,0.49156555710211935,0.518163092167
PDV,PDV_WT,T,0.2074806983284765,0.9009446060486741,0.36344502607603896,0.6934639077201976
PDV,PDV_WT,M,0.2346849267600331,0.999934681947321,0.4519271335058381,0.7652497551872879
