C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0,0,0.03,0.05,0,0,0,0,1
0.025,0,0.024251,0.079,0.333333,0.00477701,0,0,1
0.05,0,0.0185077,0.108,0.666667,0.0187322,0,0,1
0.075,0,0.0127752,0.137,1,0.0408097,0,0,1
0.1,0,0.007058,0.166,1.33333,0.0694637,0,0,1
0.125,0,0.00135958,0.195,1.66667,0.102908,0,0,1
0.15,0,-0.00431744,0.224,2,0.139353,0,0,1
0.175,0,-0.00997156,0.253,2.33333,0.177192,0,0,1
0.2,0,-0.0156025,0.282,2.66667,0.2151,0,0,1
0.225,0,-0.0212111,0.311,3,0.252073,0,0,1
0.25,0,-0.0267997,0.34,3.33333,0.287409,0,0,1
0.275,0,-0.0323716,0.369,3.66667,0.320669,0,0,1
0.3,0,-0.0379312,0.398,4,0.351617,0,0,1
0.325,0,-0.0434833,0.427,4.33333,0.380172,0,0,1
0.35,0,-0.0490337,0.456,4.66667,0.406356,0,0,1
0.375,0,-0.0545877,0.485,5,0.430263,0,0,1
0.4,0,-0.0601508,0.514,5.33333,0.452028,0,0,1
0.425,0,-0.065728,0.543,5.66667,0.471809,0,0,1
0.45,0,-0.0713234,0.572,6,0.489769,0,0,1
0.475,0,-0.0769406,0.601,6.33333,0.506073,0,0,1
0.5,0,-0.0825822,0.63,6.66667,0.520877,0,0,1
0.525,0,-0.0882498,0.659,7,0.534328,0,0,1
0.55,0,-0.0939445,0.688,7.33333,0.546562,0,0,1
0.575,0,-0.0996666,0.717,7.66667,0.557702,0,0,1
0.6,0,-0.105416,0.746,8,0.567859,0,0,1
0.625,0,-0.111191,0.775,8.33333,0.577135,0,0,1
0.65,0,-0.116992,0.804,8.66667,0.585618,0,0,1
0.675,0,-0.122816,0.833,9,0.593389,0,0,1
0.7,0,-0.128662,0.862,9.33333,0.60052,0,0,1
0.725,0,-0.134529,0.891,9.66667,0.607073,0,0,1
0.75,0,-0.140415,0.92,10,0.613106,0,0,1
0.775,0,-0.146318,0.949,10.3333,0.618668,0,0,1
0.8,0,-0.152238,0.978,10.6667,0.623806,0,0,1
0.825,0,-0.158171,1.007,11,0.628558,0,0,1
0.85,0,-0.164117,1.036,11.3333,0.632961,0,0,1
0.875,0,-0.170075,1.065,11.6667,0.637047,0,0,1
0.9,0,-0.176043,1.094,12,0.640843,0,0,1
0.925,0,-0.182021,1.123,12.3333,0.644376,0,0,1
0.95,0,-0.188007,1.152,12.6667,0.647668,0,0,1
0.975,0,-0.194,1.181,13,0.650741,0,0,1
1,0,-0.2,1.21,13.3333,0.653612,0,0,1
0,0.025,0.0300001,0.04125,0.125,0.00067565,0.0416667,9.81437e-17,1
0.025,0.025,0.0242526,0.069525,0.458333,0.00897806,0.0416667,3.05988e-12,1
0.05,0.025,0.0185129,0.0978,0.791667,0.0261342,0.0416667,2.19692e-10,1
0.075,0.025,0.0127859,0.126075,1.125,0.0508776,0.0416667,3.1556e-09,1
0.1,0.025,0.00707578,0.15435,1.45833,0.0815422,0.0416667,2.08211e-08,1
0.125,0.025,0.00138581,0.182625,1.79167,0.116315,0.0416667,8.62018e-08,1
0.15,0.025,-0.00428174,0.2109,2.125,0.153458,0.0416667,2.61173e-07,1
