f_ras,mu_L_scale,eta_M_scale,C,A,T,R,L,M,C_base,delta_C_vs_base
0.9,0.3,0.3,0.13772020898719484,0.30611850151513953,0.18078874947681162,0.13860306908891035,0.13775332571378113,0.00010190448758675638,0.6607049023089467,0.5229846933217519
0.9,0.3,0.5,0.13789864705815447,0.30621019949156386,0.18085561445534296,0.13869570160037595,0.13779458976623096,0.00017040522285444832,0.6607049023089467,0.5228062552507923
0.9,0.3,0.7,0.13807821767562897,0.30630245501554754,0.1809228904048136,0.13878890740944141,0.13783610474074193,0.00023936454741271113,0.6607049023089467,0.5226266846333177
0.9,0.3,1.0,0.13834972965400083,0.3064418994051312,0.18102458652619194,0.13892980719178308,0.13789885471382704,0.00034367694421706137,0.6607049023089467,0.5223551726549459
0.9,0.5,0.3,0.13907923904617553,0.3068162867310136,0.18129767546573675,0.13930821447520983,0.2301122150416902,0.0006242192952886785,0.6607049023089467,0.5216256632627712
0.9,0.5,0.5,0.1402166257497326,0.3073991926570887,0.18172300926736706,0.13989770076581104,0.23054939405285219,0.0010624094145595966,0.6607049023089467,0.5204882765592141
0.9,0.5,0.7,0.14140184895765434,0.3080055726225398,0.18216566010479904,0.1405113362602073,0.23100417942062945,0.0015200633552634503,0.6607049023089467,0.5193030533512923
0.9,0.5,1.0,0.14327903399543174,0.3089638021070344,0.18286555007682742,0.1414818601245881,0.23172285157366715,0.00224708562854488,0.6607049023089467,0.517425868313515
0.9,0.7,0.3,0.14310000209282897,0.30887252782793334,0.18279886264661402,0.14138937175370403,0.324316154231172,0.0021776317654162206,0.6607049023089467,0.5176049002161178
0.9,0.7,0.5,0.14761221487663231,0.3111656207986018,0.18447559001001554,0.14371561341617195,0.3267239037711899,0.003935651824500229,0.6607049023089467,0.5130926874323144
0.9,0.7,0.7,0.15300478215619878,0.3138862257954244,0.18646854117627149,0.1464822590419596,0.3295805365192371,0.006057696356471716,0.6607049023089467,0.507700120152748
0.9,0.7,1.0,0.1638755589132678,0.31930583467555196,0.19045052399716522,0.15201241823996156,0.335271129739687,0.01040803573601064,0.6607049023089467,0.49682934339567897
0.9,1.0,0.3,0.16550959292482564,0.3201130836487096,0.191045010531854,0.15283799026257847,0.48016962138357877,0.011070647664992609,0.6607049023089467,0.4951953093841211
0.9,1.0,0.5,0.5527118053365331,0.4692602961772171,0.3087853415583858,0.2969281296439129,0.7038904442489384,0.324568114827991,0.6607049023089467,0.10799309697241366
0.9,1.0,0.7,0.616871580079411,0.48787596378185666,0.3249477221532833,0.3121071940611773,0.7318139456464353,0.44888794148218947,0.6607049023089467,0.04383332222953573
0.9,1.0,1.0,0.6607049023089467,0.49986072958504535,0.3355872039898721,0.32145523099635226,0.7497910943499041,0.5636589914729218,0.6607049023089467,0.0
