branch,f_ras,C,A,T,R,L,M
up,0,-6.17372e-13,-7.16254e-12,-1.32001e-10,-1.31196e-15,-3.57675e-11,-1.48192e-32
up,0.0306122,0.000764727,0.0039616,0.0300043,3.89642e-05,0.00660266,-3.96637e-24
up,0.0612245,0.00152832,0.00788762,0.0598157,0.000154828,0.013146,-2.97717e-20
up,0.0918367,0.00229082,0.0117787,0.0894377,0.000346054,0.0196311,-5.97783e-18
up,0.122449,0.00305226,0.0156354,0.118874,0.000611101,0.0260589,-7.41223e-17
up,0.153061,0.00381268,0.0194583,0.148127,0.000948431,0.0324304,-5.3381e-16
up,0.183673,0.0045721,0.0232479,0.177201,0.0013565,0.0387465,1.14439e-15
up,0.214286,0.00533057,0.0270049,0.206099,0.00183378,0.0450081,-8.39859e-14
up,0.244898,0.00608811,0.0307297,0.234823,0.00237874,0.0512162,2.28013e-14
up,0.27551,0.00684474,0.0344228,0.263377,0.00298984,0.0573714,3.54913e-13
up,0.306122,0.00760051,0.0380848,0.291764,0.00366558,0.0634747,1.1875e-12
up,0.336735,0.00835543,0.0417162,0.319986,0.00440444,0.0695269,3.14535e-12
up,0.367347,0.00910953,0.0453173,0.348047,0.0052049,0.0755288,6.60935e-12
up,0.397959,0.00986284,0.0488887,0.375948,0.00606547,0.0814811,8.72069e-12
up,0.428571,0.0106154,0.0524307,0.403692,0.00698468,0.0873845,4.98197e-11
up,0.459184,0.0113672,0.055944,0.431282,0.00796101,0.0932399,1.15059e-10
up,0.489796,0.0121182,0.0594288,0.45872,0.00899303,0.0990479,1.43449e-10
up,0.520408,0.0128686,0.0628855,0.486009,0.0100793,0.104809,4.64993e-10
up,0.55102,0.0136183,0.0663147,0.51315,0.0112183,0.110524,8.88489e-10
up,0.581633,0.0143673,0.0697166,0.540147,0.0124087,0.116194,1.65634e-09
up,0.612245,0.0151156,0.0730917,0.567,0.013649,0.121819,2.9328e-09
up,0.642857,0.0158634,0.0764403,0.593713,0.0149378,0.1274,3.60781e-09
up,0.673469,0.0166105,0.0797628,0.620287,0.0162738,0.132938,8.19859e-09
up,0.704082,0.0173571,0.0830595,0.646725,0.0176556,0.138433,4.24427e-09
up,0.734694,0.018103,0.0863309,0.673028,0.0190818,0.143885,8.61027e-09
up,0.765306,0.0188484,0.0895772,0.699198,0.0205511,0.149295,1.32164e-08
up,0.795918,0.0195933,0.0927988,0.725238,0.0220621,0.154665,2.05919e-08
up,0.826531,0.0203376,0.095996,0.751148,0.0236137,0.159993,3.16557e-08
up,0.857143,0.0210814,0.0991692,0.776931,0.0252044,0.165282,4.78041e-08
up,0.887755,0.0218248,0.102319,0.80259,0.0268331,0.170531,6.89443e-08
up,0.918367,0.0225676,0.105445,0.828125,0.0284985,0.175741,9.86232e-08
up,0.94898,0.02331,0.108548,0.853538,0.0301994,0.180913,1.39376e-07
up,0.979592,0.024052,0.111628,0.878832,0.0319345,0.186046,1.94932e-07
up,1.0102,0.0247936,0.114685,0.904008,0.0337028,0.191142,2.69524e-07
up,1.04082,0.0255348,0.117721,0.929068,0.0355031,0.196202,3.68025e-07
up,1.07143,0.0262756,0.120735,0.954015,0.0373343,0.201225,4.97946e-07
up,1.10204,0.0270161,0.123727,0.978849,0.0391954,0.206212,6.67369e-07
up,1.13265,0.0277563,0.126698,1.00357,0.0410852,0.211164,8.85787e-07
