param,baseline_value,scale,scaled_value,C_base,M_base,C_lepr,M_lepr,delta_C_lepr,delta_M_lepr,C_mtor,M_mtor,delta_C_mtor,delta_M_mtor
eta_C,1.2,0.8,0.96,0.6518625482596551,0.5588283411423612,0.13070487756579946,0.0002966808470934485,0.5211576706938557,0.5585316602952678,0.15122574312968418,0.00867511634279504,0.5006368051299709,0.5501532247995662
eta_C,1.2,1.0,1.2,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
eta_C,1.2,1.2,1.44,0.6691799121793108,0.5681200297139586,0.14681158110954812,0.00040225371474695686,0.5223683310697627,0.5677177759992116,0.18530558204796924,0.015149042622034727,0.4838743301313416,0.5529709870919238
alpha_A,0.4,0.8,0.32000000000000006,0.6457128511250572,0.5278105556539744,0.12706519336433994,0.00010000180536957876,0.5186476577607172,0.5277105538486048,0.13267608935554526,0.0023123979457144394,0.513036761769512,0.5254981577082599
alpha_A,0.4,1.0,0.4,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
alpha_A,0.4,1.2,0.48,0.6711327292151935,0.5893668419216124,0.15257629555457797,0.000934708570604614,0.5185564336606155,0.5884321333510077,0.4556053386554381,0.1906146554898153,0.2155273905597554,0.3987521864317971
gamma_T,0.15,0.8,0.12,0.649418008029733,0.5408720243713737,0.1363783348370098,0.00030259422643320205,0.5130396731927233,0.5405694301449405,0.1576764591027104,0.0088264357901728,0.49174154892702265,0.5320455885812009
gamma_T,0.15,1.0,0.15,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
gamma_T,0.15,1.2,0.18,0.6700547154621,0.582044362358495,0.14048923497374916,0.00039114249146314273,0.529565480488351,0.5816532198670319,0.1771522890242674,0.014704964529482578,0.49290242643783266,0.5673393978290124
eta_R,0.6,0.8,0.48,0.6167570148050838,0.44862503471323084,0.13790344638540405,0.00017224796453927171,0.47885356841967974,0.44845278674869155,0.14833532935479934,0.004218864166202275,0.4684216854502845,0.4444061705470286
eta_R,0.6,1.0,0.6,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
eta_R,0.6,1.2,0.72,0.6782965968465642,0.6191998854477104,0.13901148567558883,0.000598147152470338,0.5392851111709753,0.6186017382952401,0.4866820535748903,0.2322918767920246,0.19161454327167388,0.38690800865568586
K_R,0.35,0.8,0.27999999999999997,0.6827230716702891,0.6342078867016292,0.14083916778916677,0.0013026613477939877,0.5418839038811223,0.6329052253538352,0.5269491227873927,0.2850930061041287,0.15577394888289642,0.3491148805975005
K_R,0.35,1.0,0.35,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
K_R,0.35,1.2,0.42,0.597480453603146,0.40670683409462594,0.13771577485227451,0.00010020257400325405,0.45976467875087146,0.4066066315206227,0.14332839581137094,0.0022662395883917908,0.45415205779177503,0.40444059450623415
p_R,2.5,0.8,2.0,0.6620457858277801,0.567675714346593,0.139463891181628,0.0007723021249457776,0.522581894646152,0.5669034122216473,0.3880495178444708,0.13605679938588566,0.2739962679833093,0.43161891496070737
p_R,2.5,1.0,2.5,0.6607049023089467,0.5636589914729218,0.13834972965400083,0.00034367694421706137,0.5223551726549459,0.5633153145287046,0.16550959292482564,0.011070647664992609,0.4951953093841211,0.5525883438079291
p_R,2.5,1.2,3.0,0.6592275662998154,0.5592726088371466,0.13782566876401117,0.00014238667876092473,0.5214018975358042,0.5591302221583857,0.14645029776158047,0.0034814413064610476,0.5127772685382349,0.5557911675306856
