module,pt_bin_index,pt_bin_start,pt_bin_end,pt_bin_center,mean,std,n
Angio,0,0.0,0.05,0.025,-0.009521018756262333,0.028446808758669548,26
TGFb,0,0.0,0.05,0.025,-0.02814324607478189,0.026927816048651604,26
mTOR,0,0.0,0.05,0.025,-0.023455960885258035,0.016473540051514676,26
CSC_module,0,0.0,0.05,0.025,-0.028165633410128336,0.028031713692484923,26
CSC_signature,0,0.0,0.05,0.025,-0.01636173418251917,0.01935171754499065,26
Angio,1,0.05,0.1,0.07500000000000001,0.007393780894459866,0.05177059960985106,76
TGFb,1,0.05,0.1,0.07500000000000001,-0.023387685574704747,0.04141452227511923,76
mTOR,1,0.05,0.1,0.07500000000000001,-0.023850116469673565,0.0246126646121189,76
CSC_module,1,0.05,0.1,0.07500000000000001,-0.007914361814580497,0.04760284572387668,76
CSC_signature,1,0.05,0.1,0.07500000000000001,-0.007375780186517395,0.04320198103754894,76
Angio,2,0.1,0.15000000000000002,0.125,0.035756423993588485,0.06364214162922989,153
TGFb,2,0.1,0.15000000000000002,0.125,-0.016777528287490576,0.04668142445254138,153
mTOR,2,0.1,0.15000000000000002,0.125,-0.011095020328189036,0.03066310298854406,153
CSC_module,2,0.1,0.15000000000000002,0.125,0.03372443578684909,0.059131236907936535,153
CSC_signature,2,0.1,0.15000000000000002,0.125,0.007993056682551066,0.0524383249637525,153
Angio,3,0.15000000000000002,0.2,0.17500000000000002,0.027706202464114284,0.04385961830474347,210
TGFb,3,0.15000000000000002,0.2,0.17500000000000002,-0.003975641660348908,0.041195240569248115,210
mTOR,3,0.15000000000000002,0.2,0.17500000000000002,-0.009098325796888683,0.028201136527830243,210
CSC_module,3,0.15000000000000002,0.2,0.17500000000000002,0.060311299383395495,0.05223122860456511,210
CSC_signature,3,0.15000000000000002,0.2,0.17500000000000002,0.0008496168112420403,0.035892181634528196,210
Angio,4,0.2,0.25,0.225,-0.015590984790702696,0.03434060579109598,128
TGFb,4,0.2,0.25,0.225,0.012075351909521123,0.048370928253791495,128
mTOR,4,0.2,0.25,0.225,-0.04348432263081135,0.028274256388382046,128
CSC_module,4,0.2,0.25,0.225,0.0003033714991292451,0.052171482383356116,128
CSC_signature,4,0.2,0.25,0.225,-0.03696044576539986,0.03112347327793038,128
Angio,5,0.25,0.30000000000000004,0.275,-0.049250380828808005,0.04212149683929788,32
TGFb,5,0.25,0.30000000000000004,0.275,-0.003561878429638359,0.047058034844838795,32
mTOR,5,0.25,0.30000000000000004,0.275,-0.07645594519813312,0.024940407960835808,32
CSC_module,5,0.25,0.30000000000000004,0.275,-0.06671214146407396,0.04236946704901962,32
CSC_signature,5,0.25,0.30000000000000004,0.275,-0.06615370047063408,0.023293820679281783,32
Angio,6,0.30000000000000004,0.35000000000000003,0.32500000000000007,-0.015174064783734544,0.07176440922307653,19
TGFb,6,0.30000000000000004,0.35000000000000003,0.32500000000000007,-0.03081969947004125,0.06511296726535337,19
mTOR,6,0.30000000000000004,0.35000000000000003,0.32500000000000007,-0.05521107772070432,0.04755483222671211,19
CSC_module,6,0.30000000000000004,0.35000000000000003,0.32500000000000007,-0.03419384233091784,0.03518683667830276,19
CSC_signature,6,0.30000000000000004,0.35000000000000003,0.32500000000000007,-0.05191727890520111,0.03317719805186957,19
Angio,7,0.35000000000000003,0.4,0.375,-0.009680278070250221,0.03435498188315158,19
TGFb,7,0.35000000000000003,0.4,0.375,0.043744697125807655,0.07131382043837446,19
mTOR,7,0.35000000000000003,0.4,0.375,-0.05298406082899133,0.03173058057418692,19
CSC_module,7,0.35000000000000003,0.4,0.375,-0.0320626357163003,0.032924642905825884,19
CSC_signature,7,0.35000000000000003,0.4,0.375,-0.049802884992366785,0.019473630971255013,19
Angio,8,0.4,0.45,0.42500000000000004,0.014985697787034742,0.04866306117928976,13
TGFb,8,0.4,0.45,0.42500000000000004,0.07651725381660157,0.07521567369932865,13
mTOR,8,0.4,0.45,0.42500000000000004,-0.04323470589123905,0.03270965620489501,13
CSC_module,8,0.4,0.45,0.42500000000000004,-0.021345511413210203,0.03314030630253521,13
CSC_signature,8,0.4,0.45,0.42500000000000004,-0.04054340390730797,0.023438592949675173,13
Angio,9,0.45,0.5,0.475,0.001705756873106,0.0,1
TGFb,9,0.45,0.5,0.475,0.0696013922154444,0.0,1
mTOR,9,0.45,0.5,0.475,-0.0573133389965919,0.0,1
CSC_module,9,0.45,0.5,0.475,-0.0155893510701451,0.0,1
CSC_signature,9,0.45,0.5,0.475,-0.0377484144098488,0.0,1
Angio,10,0.5,0.55,0.525,0.0017579076852472747,0.03839738056736299,4
TGFb,10,0.5,0.55,0.525,0.10805491091616251,0.07813998013929978,4
mTOR,10,0.5,0.55,0.525,-0.04777133281931027,0.013334135716855561,4
CSC_module,10,0.5,0.55,0.525,-0.00995453358872825,0.033240715723143584,4
CSC_signature,10,0.5,0.55,0.525,-0.01774867234533655,0.027957419474595638,4
Angio,19,0.9500000000000001,1.0,0.9750000000000001,0.0328832080454012,0.0,1
TGFb,19,0.9500000000000001,1.0,0.9750000000000001,0.0505003578154064,0.0,1
mTOR,19,0.9500000000000001,1.0,0.9750000000000001,-0.031593522011914,0.0,1
CSC_module,19,0.9500000000000001,1.0,0.9750000000000001,0.02694373412897,0.0,1
CSC_signature,19,0.9500000000000001,1.0,0.9750000000000001,-0.0551435170580719,0.0,1
